3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,0,0,0,808,0,0,0,0,100,0,0,0,0,0,0,808,0,0,7
2,0,0,0,0,0,14,0,0,1000,0,0,0,14,0,0,0,0,0,7
2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7
2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7
2,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7
2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,808,0,0,7
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5
